grade,subject,chapter,step_title,sections_found,sections_total,missing_sections,overall_score,critical,high,audited_at
Grade 10,English,Supplementary Reader - Chapter 6: The Making of a Scientist,Worked examples,7,8,introduction,44,4,4,2026-06-29T11:19:25.374804+00:00
Grade 10,English,Supplementary Reader - Chapter 6: The Making of a Scientist,Concept introduction,8,8,,50,2,5,2026-06-29T11:19:25.375686+00:00
Grade 10,English,Supplementary Reader - Chapter 6: The Making of a Scientist,Core explanation,7,8,introduction,44,3,6,2026-06-29T11:19:25.376882+00:00
Grade 10,English,Supplementary Reader - Chapter 6: The Making of a Scientist,Exam preparation,7,8,introduction,44,4,6,2026-06-29T11:19:25.377778+00:00
Grade 10,English,Supplementary Reader - Chapter 7: The Necklace,Worked examples,7,8,introduction,54,2,3,2026-06-29T11:19:25.380256+00:00
Grade 10,English,Supplementary Reader - Chapter 7: The Necklace,Exam-style problems,8,8,,50,3,6,2026-06-29T11:19:25.381345+00:00
Grade 10,English,Supplementary Reader - Chapter 7: The Necklace,Revision and recap,7,8,introduction,44,3,5,2026-06-29T11:19:25.382300+00:00
Grade 10,English,Supplementary Reader - Chapter 7: The Necklace,Core explanation,7,8,introduction,44,3,5,2026-06-29T11:19:25.383514+00:00
Grade 10,English,Supplementary Reader - Chapter 7: The Necklace,Concept introduction,8,8,,50,3,5,2026-06-29T11:19:25.384301+00:00
Grade 10,English,Supplementary Reader - Chapter 7: The Necklace,Exam preparation,8,8,,58,1,6,2026-06-29T11:19:25.385554+00:00
Grade 10,English,Supplementary Reader - Chapter 8: Bholi,Worked examples,7,8,introduction,44,3,3,2026-06-29T11:19:25.387081+00:00
Grade 10,English,Supplementary Reader - Chapter 8: Bholi,Revision and recap,8,8,,52,1,7,2026-06-29T11:19:25.388165+00:00
Grade 10,English,Supplementary Reader - Chapter 8: Bholi,Exam-style problems,8,8,,50,8,9,2026-06-29T11:19:25.389176+00:00
Grade 10,English,Supplementary Reader - Chapter 8: Bholi,Exam preparation,7,8,introduction,44,6,6,2026-06-29T11:19:25.390098+00:00
Grade 10,English,Supplementary Reader - Chapter 8: Bholi,Concept introduction,8,8,,50,3,7,2026-06-29T11:19:25.391169+00:00
Grade 10,English,Supplementary Reader - Chapter 8: Bholi,Core explanation,8,8,,50,9,7,2026-06-29T11:19:25.392554+00:00
Grade 10,English,Supplementary Reader - Chapter 9: The Book That Saved the Earth,Exam preparation,7,8,introduction,49,2,4,2026-06-29T11:19:25.393947+00:00
Grade 10,English,Supplementary Reader - Chapter 9: The Book That Saved the Earth,Revision and recap,8,8,,50,2,5,2026-06-29T11:19:25.395192+00:00
Grade 10,English,Supplementary Reader - Chapter 9: The Book That Saved the Earth,Worked examples,7,8,introduction,44,3,7,2026-06-29T11:19:25.396162+00:00
Grade 10,English,Supplementary Reader - Chapter 9: The Book That Saved the Earth,Core explanation,8,8,,50,2,5,2026-06-29T11:19:25.397275+00:00
Grade 10,English,Supplementary Reader - Chapter 9: The Book That Saved the Earth,Exam-style problems,7,8,introduction,49,2,4,2026-06-29T11:19:25.398534+00:00
Grade 10,English,Supplementary Reader - Chapter 9: The Book That Saved the Earth,Concept introduction,8,8,,50,3,7,2026-06-29T11:19:25.399735+00:00
Grade 10,English,Text Book - Chapter 1: A Letter to God,Core explanation,7,8,introduction,44,3,3,2026-06-29T11:19:25.400841+00:00
Grade 10,English,Text Book - Chapter 1: A Letter to God,Exam preparation,7,8,introduction,44,4,2,2026-06-29T11:19:25.402198+00:00
Grade 10,English,Text Book - Chapter 1: A Letter to God,Worked examples,7,8,introduction,44,3,7,2026-06-29T11:19:25.403301+00:00
Grade 10,English,Text Book - Chapter 1: A Letter to God,Exam-style problems,7,8,introduction,44,9,6,2026-06-29T11:19:25.404685+00:00
Grade 10,English,Text Book - Chapter 1: A Letter to God,Revision and recap,7,8,introduction,44,5,5,2026-06-29T11:19:25.405698+00:00
Grade 10,English,Text Book - Chapter 1: A Letter to God,Concept introduction,8,8,,50,3,3,2026-06-29T11:19:25.406762+00:00
Grade 10,English,Text Book - Chapter 2: Nelson Mandela: Long Walk to Freedom,Revision and recap,7,8,introduction,44,3,7,2026-06-29T11:19:25.408555+00:00
Grade 10,English,Text Book - Chapter 2: Nelson Mandela: Long Walk to Freedom,Concept introduction,7,8,introduction,44,3,6,2026-06-29T11:19:25.409808+00:00
Grade 10,English,Text Book - Chapter 2: Nelson Mandela: Long Walk to Freedom,Core explanation,7,8,introduction,44,3,5,2026-06-29T11:19:25.411229+00:00
Grade 10,English,Text Book - Chapter 2: Nelson Mandela: Long Walk to Freedom,Exam preparation,8,8,,50,2,5,2026-06-29T11:19:25.412243+00:00
Grade 10,English,Text Book - Chapter 2: Nelson Mandela: Long Walk to Freedom,Worked examples,7,8,introduction,44,4,3,2026-06-29T11:19:25.413339+00:00
Grade 10,English,Text Book - Chapter 2: Nelson Mandela: Long Walk to Freedom,Exam-style problems,8,8,,50,2,9,2026-06-29T11:19:25.414376+00:00
Grade 10,English,Text Book - Chapter 3: Two Stories about Flying,Exam preparation,7,8,introduction,44,4,5,2026-06-29T11:19:25.415860+00:00
Grade 10,English,Text Book - Chapter 3: Two Stories about Flying,Concept introduction,8,8,,50,3,3,2026-06-29T11:19:25.417025+00:00
Grade 10,English,Text Book - Chapter 3: Two Stories about Flying,Core explanation,7,8,introduction,44,3,3,2026-06-29T11:19:25.418564+00:00
Grade 10,English,Text Book - Chapter 3: Two Stories about Flying,Worked examples,7,8,introduction,44,4,5,2026-06-29T11:19:25.420095+00:00
Grade 10,English,Text Book - Chapter 3: Two Stories about Flying,Revision and recap,8,8,,72,1,3,2026-06-29T11:19:25.421211+00:00
Grade 10,English,Text Book - Chapter 3: Two Stories about Flying,Exam-style problems,7,8,introduction,44,3,4,2026-06-29T11:19:25.422966+00:00
Grade 10,English,Text Book - Chapter 4: From the Diary of Anne Frank,Concept introduction,8,8,,50,2,7,2026-06-29T11:19:25.423947+00:00
Grade 10,English,Text Book - Chapter 4: From the Diary of Anne Frank,Revision and recap,7,8,introduction,44,9,4,2026-06-29T11:19:25.425313+00:00
Grade 10,English,Text Book - Chapter 4: From the Diary of Anne Frank,Exam preparation,8,8,,62,1,5,2026-06-29T11:19:25.426917+00:00
Grade 10,English,Text Book - Chapter 4: From the Diary of Anne Frank,Exam-style problems,8,8,,50,5,6,2026-06-29T11:19:25.427999+00:00
Grade 10,English,Text Book - Chapter 4: From the Diary of Anne Frank,Worked examples,7,8,introduction,44,4,6,2026-06-29T11:19:25.428947+00:00
Grade 10,English,Text Book - Chapter 4: From the Diary of Anne Frank,Core explanation,8,8,,50,3,6,2026-06-29T11:19:25.430628+00:00
Grade 10,English,Text Book - Chapter 5: Glimpses of India,Exam-style problems,7,8,introduction,44,8,3,2026-06-29T11:19:25.431752+00:00
Grade 10,English,Text Book - Chapter 5: Glimpses of India,Revision and recap,7,8,introduction,44,8,5,2026-06-29T11:19:25.432704+00:00
Grade 10,English,Text Book - Chapter 5: Glimpses of India,Exam preparation,7,8,introduction,44,7,5,2026-06-29T11:19:25.433825+00:00
Grade 10,English,Text Book - Chapter 5: Glimpses of India,Concept introduction,8,8,,50,3,6,2026-06-29T11:19:25.434579+00:00
Grade 10,English,Text Book - Chapter 5: Glimpses of India,Worked examples,7,8,introduction,44,8,7,2026-06-29T11:19:25.435713+00:00
Grade 10,English,Text Book - Chapter 5: Glimpses of India,Core explanation,8,8,,50,2,5,2026-06-29T11:19:25.437098+00:00
Grade 10,English,Text Book - Chapter 6: Mijbil the Otter,Exam-style problems,7,8,introduction,44,3,6,2026-06-29T11:19:25.438487+00:00
Grade 10,English,Text Book - Chapter 6: Mijbil the Otter,Worked examples,7,8,introduction,44,2,8,2026-06-29T11:19:25.439485+00:00
Grade 10,English,Text Book - Chapter 6: Mijbil the Otter,Revision and recap,7,8,introduction,44,3,4,2026-06-29T11:19:25.440499+00:00
Grade 10,English,Text Book - Chapter 6: Mijbil the Otter,Concept introduction,8,8,,50,4,4,2026-06-29T11:19:25.441625+00:00
Grade 10,English,Text Book - Chapter 6: Mijbil the Otter,Exam preparation,7,8,introduction,44,4,6,2026-06-29T11:19:25.442972+00:00
Grade 10,English,Text Book - Chapter 6: Mijbil the Otter,Core explanation,7,8,introduction,44,3,6,2026-06-29T11:19:25.444098+00:00
Grade 10,English,Text Book - Chapter 7: Madam Rides the Bus,Exam preparation,7,8,introduction,44,7,6,2026-06-29T11:19:25.445372+00:00
Grade 10,English,Text Book - Chapter 7: Madam Rides the Bus,Revision and recap,7,8,introduction,44,3,6,2026-06-29T11:19:25.446343+00:00
Grade 10,English,Text Book - Chapter 7: Madam Rides the Bus,Concept introduction,8,8,,50,2,7,2026-06-29T11:19:25.447343+00:00
Grade 10,English,Text Book - Chapter 7: Madam Rides the Bus,Exam-style problems,5,8,introduction;what you will learn;step-by-step breakdown,31,4,6,2026-06-29T11:19:25.448624+00:00
Grade 10,English,Text Book - Chapter 7: Madam Rides the Bus,Worked examples,7,8,introduction,44,4,5,2026-06-29T11:19:25.449470+00:00
Grade 10,English,Text Book - Chapter 7: Madam Rides the Bus,Core explanation,7,8,introduction,44,2,5,2026-06-29T11:19:25.450694+00:00
Grade 10,English,Text Book - Chapter 8: The Sermon at Benares,Worked examples,8,8,,50,1,10,2026-06-29T11:19:25.451907+00:00
Grade 10,English,Text Book - Chapter 8: The Sermon at Benares,Exam preparation,7,8,introduction,44,1,8,2026-06-29T11:19:25.453040+00:00
Grade 10,English,Text Book - Chapter 8: The Sermon at Benares,Exam-style problems,8,8,,50,3,7,2026-06-29T11:19:25.454036+00:00
Grade 10,English,Text Book - Chapter 8: The Sermon at Benares,Core explanation,8,8,,50,8,4,2026-06-29T11:19:25.455426+00:00
Grade 10,English,Text Book - Chapter 8: The Sermon at Benares,Revision and recap,7,8,introduction,44,2,5,2026-06-29T11:19:25.456621+00:00
Grade 10,English,Text Book - Chapter 8: The Sermon at Benares,Concept introduction,8,8,,50,3,6,2026-06-29T11:19:25.457597+00:00
Grade 10,English,Text Book - Chapter 9: The Proposal,Exam preparation,8,8,,62,1,5,2026-06-29T11:19:25.458854+00:00
Grade 10,English,Text Book - Chapter 9: The Proposal,Exam-style problems,8,8,,55,2,4,2026-06-29T11:19:25.459893+00:00
Grade 10,English,Text Book - Chapter 9: The Proposal,Revision and recap,8,8,,50,4,6,2026-06-29T11:19:25.460860+00:00
Grade 10,English,Text Book - Chapter 9: The Proposal,Concept introduction,8,8,,50,3,4,2026-06-29T11:19:25.462009+00:00
Grade 10,English,Text Book - Chapter 9: The Proposal,Core explanation,7,8,introduction,44,4,6,2026-06-29T11:19:25.463287+00:00
Grade 10,English,Text Book - Chapter 9: The Proposal,Worked examples,7,8,introduction,44,3,6,2026-06-29T11:19:25.464432+00:00
Grade 10,English,Workbook - Chapter 1: A Letter to God,Core explanation,7,8,introduction,44,3,3,2026-06-29T11:19:25.465512+00:00
Grade 10,English,Workbook - Chapter 1: A Letter to God,Exam preparation,7,8,introduction,44,4,2,2026-06-29T11:19:25.466923+00:00
Grade 10,English,Workbook - Chapter 1: A Letter to God,Revision and recap,7,8,introduction,44,5,5,2026-06-29T11:19:25.467858+00:00
Grade 10,English,Workbook - Chapter 1: A Letter to God,Worked examples,7,8,introduction,44,3,7,2026-06-29T11:19:25.468934+00:00
Grade 10,English,Workbook - Chapter 1: A Letter to God,Concept introduction,8,8,,50,3,3,2026-06-29T11:19:25.469698+00:00
Grade 10,English,Workbook - Chapter 1: A Letter to God,Exam-style problems,7,8,introduction,44,9,6,2026-06-29T11:19:25.470886+00:00
Grade 10,English,Workbook - Chapter 2: Nelson Mandela — Long Walk to Freedom,Exam preparation,7,8,introduction,44,7,5,2026-06-29T11:19:25.472582+00:00
Grade 10,English,Workbook - Chapter 2: Nelson Mandela — Long Walk to Freedom,Revision and recap,7,8,introduction,44,4,5,2026-06-29T11:19:25.473577+00:00
Grade 10,English,Workbook - Chapter 2: Nelson Mandela — Long Walk to Freedom,Worked examples,7,8,introduction,44,4,6,2026-06-29T11:19:25.474794+00:00
Grade 10,English,Workbook - Chapter 2: Nelson Mandela — Long Walk to Freedom,Core explanation,7,8,introduction,44,3,6,2026-06-29T11:19:25.475907+00:00
Grade 10,English,Workbook - Chapter 2: Nelson Mandela — Long Walk to Freedom,Exam-style problems,8,8,,50,2,5,2026-06-29T11:19:25.476884+00:00
Grade 10,English,Workbook - Chapter 2: Nelson Mandela — Long Walk to Freedom,Concept introduction,7,8,introduction,54,2,3,2026-06-29T11:19:25.478168+00:00
Grade 10,English,Workbook - Chapter 3: Two Stories About Flying,Exam-style problems,7,8,introduction,44,3,4,2026-06-29T11:19:25.479876+00:00
Grade 10,English,Workbook - Chapter 3: Two Stories About Flying,Concept introduction,8,8,,50,3,3,2026-06-29T11:19:25.481070+00:00
Grade 10,English,Workbook - Chapter 3: Two Stories About Flying,Worked examples,7,8,introduction,44,4,5,2026-06-29T11:19:25.482530+00:00
Grade 10,English,Workbook - Chapter 3: Two Stories About Flying,Exam preparation,7,8,introduction,44,4,5,2026-06-29T11:19:25.484043+00:00
Grade 10,English,Workbook - Chapter 3: Two Stories About Flying,Core explanation,7,8,introduction,44,3,3,2026-06-29T11:19:25.485534+00:00
Grade 10,English,Workbook - Chapter 3: Two Stories About Flying,Revision and recap,8,8,,72,1,3,2026-06-29T11:19:25.486554+00:00
Grade 10,English,Workbook - Chapter 4: From the Diary of Anne Frank,Revision and recap,7,8,introduction,44,9,4,2026-06-29T11:19:25.487928+00:00
Grade 10,English,Workbook - Chapter 4: From the Diary of Anne Frank,Exam-style problems,8,8,,50,5,6,2026-06-29T11:19:25.489107+00:00
Grade 10,English,Workbook - Chapter 4: From the Diary of Anne Frank,Exam preparation,8,8,,62,1,5,2026-06-29T11:19:25.490726+00:00
Grade 10,English,Workbook - Chapter 4: From the Diary of Anne Frank,Concept introduction,8,8,,50,2,7,2026-06-29T11:19:25.491800+00:00
Grade 10,English,Workbook - Chapter 4: From the Diary of Anne Frank,Worked examples,7,8,introduction,44,4,6,2026-06-29T11:19:25.492772+00:00
Grade 10,English,Workbook - Chapter 4: From the Diary of Anne Frank,Core explanation,8,8,,50,3,6,2026-06-29T11:19:25.494233+00:00
Grade 10,English,Workbook - Chapter 5: Glimpses of India,Revision and recap,7,8,introduction,44,8,5,2026-06-29T11:19:25.495165+00:00
Grade 10,English,Workbook - Chapter 5: Glimpses of India,Exam-style problems,7,8,introduction,44,8,3,2026-06-29T11:19:25.496251+00:00
Grade 10,English,Workbook - Chapter 5: Glimpses of India,Concept introduction,8,8,,50,3,6,2026-06-29T11:19:25.496972+00:00
Grade 10,English,Workbook - Chapter 5: Glimpses of India,Exam preparation,7,8,introduction,44,7,5,2026-06-29T11:19:25.498067+00:00
Grade 10,English,Workbook - Chapter 5: Glimpses of India,Worked examples,7,8,introduction,44,8,7,2026-06-29T11:19:25.499201+00:00
Grade 10,English,Workbook - Chapter 5: Glimpses of India,Core explanation,8,8,,50,2,5,2026-06-29T11:19:25.500589+00:00
Grade 10,English,Workbook - Chapter 6: Mijbil the Otter,Worked examples,7,8,introduction,44,2,8,2026-06-29T11:19:25.501594+00:00
Grade 10,English,Workbook - Chapter 6: Mijbil the Otter,Exam-style problems,7,8,introduction,44,3,6,2026-06-29T11:19:25.502966+00:00
Grade 10,English,Workbook - Chapter 6: Mijbil the Otter,Revision and recap,7,8,introduction,44,3,4,2026-06-29T11:19:25.503948+00:00
Grade 10,English,Workbook - Chapter 6: Mijbil the Otter,Exam preparation,7,8,introduction,44,4,6,2026-06-29T11:19:25.505305+00:00
Grade 10,English,Workbook - Chapter 6: Mijbil the Otter,Concept introduction,8,8,,50,4,4,2026-06-29T11:19:25.506372+00:00
Grade 10,English,Workbook - Chapter 6: Mijbil the Otter,Core explanation,7,8,introduction,44,3,6,2026-06-29T11:19:25.507532+00:00
Grade 10,English,Workbook - Chapter 7: Madam Rides the Bus,Exam preparation,7,8,introduction,44,7,6,2026-06-29T11:19:25.508833+00:00
Grade 10,English,Workbook - Chapter 7: Madam Rides the Bus,Exam-style problems,5,8,introduction;what you will learn;step-by-step breakdown,31,4,6,2026-06-29T11:19:25.510118+00:00
Grade 10,English,Workbook - Chapter 7: Madam Rides the Bus,Core explanation,7,8,introduction,44,2,5,2026-06-29T11:19:25.511328+00:00
Grade 10,English,Workbook - Chapter 7: Madam Rides the Bus,Concept introduction,8,8,,50,2,7,2026-06-29T11:19:25.512341+00:00
Grade 10,English,Workbook - Chapter 7: Madam Rides the Bus,Worked examples,7,8,introduction,44,4,5,2026-06-29T11:19:25.513205+00:00
Grade 10,English,Workbook - Chapter 7: Madam Rides the Bus,Revision and recap,7,8,introduction,44,3,6,2026-06-29T11:19:25.514178+00:00
Grade 10,English,Workbook - Chapter 8: The Sermon at Benares,Worked examples,8,8,,50,1,10,2026-06-29T11:19:25.515315+00:00
Grade 10,English,Workbook - Chapter 8: The Sermon at Benares,Concept introduction,8,8,,50,3,6,2026-06-29T11:19:25.516355+00:00
Grade 10,English,Workbook - Chapter 8: The Sermon at Benares,Revision and recap,7,8,introduction,44,2,5,2026-06-29T11:19:25.517604+00:00
Grade 10,English,Workbook - Chapter 8: The Sermon at Benares,Core explanation,8,8,,50,8,4,2026-06-29T11:19:25.519027+00:00
Grade 10,English,Workbook - Chapter 8: The Sermon at Benares,Exam preparation,7,8,introduction,44,1,8,2026-06-29T11:19:25.520158+00:00
Grade 10,English,Workbook - Chapter 8: The Sermon at Benares,Exam-style problems,8,8,,50,3,7,2026-06-29T11:19:25.521152+00:00
Grade 10,English,Workbook - Chapter 9: The Proposal,Core explanation,7,8,introduction,44,4,6,2026-06-29T11:19:25.522404+00:00
Grade 10,English,Workbook - Chapter 9: The Proposal,Worked examples,7,8,introduction,44,3,6,2026-06-29T11:19:25.523539+00:00
Grade 10,English,Workbook - Chapter 9: The Proposal,Exam-style problems,8,8,,55,2,4,2026-06-29T11:19:25.524642+00:00
Grade 10,English,Workbook - Chapter 9: The Proposal,Revision and recap,8,8,,50,4,6,2026-06-29T11:19:25.525612+00:00
Grade 10,English,Workbook - Chapter 9: The Proposal,Concept introduction,8,8,,50,3,4,2026-06-29T11:19:25.526747+00:00
Grade 10,English,Workbook - Chapter 9: The Proposal,Exam preparation,8,8,,62,1,5,2026-06-29T11:19:25.528003+00:00
Grade 10,Hindi,अध्याय 1: सूरदास,Concept introduction,0,8,introduction;what you will learn;simple explanation;step-by-step breakdown;worked example;common mistake;quick check question;summary,0,8,0,2026-06-29T11:19:25.529114+00:00
Grade 10,Hindi,अध्याय 1: सूरदास,Revision and recap,0,8,introduction;what you will learn;simple explanation;step-by-step breakdown;worked example;common mistake;quick check question;summary,0,8,0,2026-06-29T11:19:25.530343+00:00
Grade 10,Hindi,अध्याय 1: सूरदास,Worked examples,7,8,introduction,44,2,6,2026-06-29T11:19:25.531495+00:00
Grade 10,Hindi,अध्याय 1: सूरदास,Exam preparation,7,8,introduction,52,1,6,2026-06-29T11:19:25.532896+00:00
Grade 10,Hindi,अध्याय 1: सूरदास,Exam-style problems,0,8,introduction;what you will learn;simple explanation;step-by-step breakdown;worked example;common mistake;quick check question;summary,0,8,0,2026-06-29T11:19:25.533855+00:00
Grade 10,Hindi,अध्याय 1: सूरदास,Core explanation,7,8,introduction,44,3,5,2026-06-29T11:19:25.534863+00:00
Grade 10,Hindi,अध्याय 10: मन्नू भंडारी,Exam-style problems,8,8,,65,0,7,2026-06-29T11:19:25.535930+00:00
Grade 10,Hindi,अध्याय 10: मन्नू भंडारी,Concept introduction,8,8,,50,2,5,2026-06-29T11:19:25.536872+00:00
Grade 10,Hindi,अध्याय 10: मन्नू भंडारी,Revision and recap,7,8,introduction,44,4,3,2026-06-29T11:19:25.538093+00:00
Grade 10,Hindi,अध्याय 10: मन्नू भंडारी,Exam preparation,8,8,,50,7,6,2026-06-29T11:19:25.539166+00:00
Grade 10,Hindi,अध्याय 10: मन्नू भंडारी,Worked examples,7,8,introduction,44,2,5,2026-06-29T11:19:25.540363+00:00
Grade 10,Hindi,अध्याय 10: मन्नू भंडारी,Core explanation,7,8,introduction,44,3,4,2026-06-29T11:19:25.541636+00:00
Grade 10,Hindi,अध्याय 11: यतींद्र मिश्र,Concept introduction,7,8,introduction,62,1,4,2026-06-29T11:19:25.543086+00:00
Grade 10,Hindi,अध्याय 11: यतींद्र मिश्र,Revision and recap,7,8,introduction,46,1,7,2026-06-29T11:19:25.544565+00:00
Grade 10,Hindi,अध्याय 11: यतींद्र मिश्र,Core explanation,7,8,introduction,44,3,3,2026-06-29T11:19:25.546045+00:00
Grade 10,Hindi,अध्याय 11: यतींद्र मिश्र,Exam-style problems,7,8,introduction,44,7,4,2026-06-29T11:19:25.547924+00:00
Grade 10,Hindi,अध्याय 11: यतींद्र मिश्र,Worked examples,7,8,introduction,62,1,4,2026-06-29T11:19:25.549149+00:00
Grade 10,Hindi,अध्याय 11: यतींद्र मिश्र,Exam preparation,7,8,introduction,44,2,5,2026-06-29T11:19:25.550663+00:00
Grade 10,Hindi,अध्याय 12: भदंत आनंद कौसल्यायन,Revision and recap,0,8,introduction;what you will learn;simple explanation;step-by-step breakdown;worked example;common mistake;quick check question;summary,0,8,0,2026-06-29T11:19:25.551928+00:00
Grade 10,Hindi,अध्याय 12: भदंत आनंद कौसल्यायन,Core explanation,7,8,introduction,44,3,4,2026-06-29T11:19:25.553014+00:00
Grade 10,Hindi,अध्याय 12: भदंत आनंद कौसल्यायन,Exam preparation,7,8,introduction,59,2,2,2026-06-29T11:19:25.554239+00:00
Grade 10,Hindi,अध्याय 12: भदंत आनंद कौसल्यायन,Concept introduction,8,8,,50,3,3,2026-06-29T11:19:25.555233+00:00
Grade 10,Hindi,अध्याय 12: भदंत आनंद कौसल्यायन,Worked examples,7,8,introduction,44,2,5,2026-06-29T11:19:25.556511+00:00
Grade 10,Hindi,अध्याय 12: भदंत आनंद कौसल्यायन,Exam-style problems,7,8,introduction,44,3,4,2026-06-29T11:19:25.557650+00:00
Grade 10,Hindi,अध्याय 2: तुलसीदास,Core explanation,7,8,introduction,44,3,5,2026-06-29T11:19:25.558663+00:00
Grade 10,Hindi,अध्याय 2: तुलसीदास,Concept introduction,8,8,,50,3,5,2026-06-29T11:19:25.559641+00:00
Grade 10,Hindi,अध्याय 2: तुलसीदास,Exam preparation,7,8,introduction,44,2,7,2026-06-29T11:19:25.560690+00:00
Grade 10,Hindi,अध्याय 2: तुलसीदास,Revision and recap,7,8,introduction,44,2,6,2026-06-29T11:19:25.561669+00:00
Grade 10,Hindi,अध्याय 2: तुलसीदास,Worked examples,7,8,introduction,44,2,7,2026-06-29T11:19:25.562521+00:00
Grade 10,Hindi,अध्याय 2: तुलसीदास,Exam-style problems,0,8,introduction;what you will learn;simple explanation;step-by-step breakdown;worked example;common mistake;quick check question;summary,0,8,0,2026-06-29T11:19:25.563743+00:00
Grade 10,Hindi,अध्याय 3: जयशंकर प्रसाद,Exam preparation,7,8,introduction,46,1,7,2026-06-29T11:19:25.565098+00:00
