grade,subject,chapter,status,issue_count,high_count,error
Grade 6,Hindi,3. पहली बूँद,OK,5,0,
Grade 6,Hindi,4. हार की जीत,OK,5,0,
Grade 6,Hindi,5. रहीम के दोहे,OK,1,0,
Grade 6,Hindi,6. मेरी माँ,OK,2,0,
Grade 6,Hindi,7. जलाते चलो,OK,5,0,
Grade 6,Hindi,8. सत्रिया और बिहू नृत्य,OK,5,0,
Grade 6,Hindi,9. मैया मैं नहिं माखन खायो,OK,5,0,
Grade 6,Maths,Chapter 1 Patterns in Mathematics,OK,5,0,
Grade 6,Maths,Chapter 10 The Other Side of Zero,OK,5,1,
Grade 6,Maths,Chapter 2 Lines and Angles,OK,4,1,
Grade 6,Maths,Chapter 3 Number Play,OK,4,1,
Grade 6,Maths,Chapter 4 Data Handling and Presentation,OK,3,1,
Grade 6,Maths,Chapter 5 Prime Time,OK,2,0,
Grade 6,Maths,Chapter 6 Perimeter and Area,OK,5,1,
Grade 6,Maths,Chapter 7 Fractions,OK,5,0,
Grade 6,Maths,Chapter 8 Playing with Constructions,OK,1,0,
Grade 6,Maths,Chapter 9 Symmetry,OK,3,1,
Grade 6,Science,Chapter 1: The Wonderful World of Science,OK,1,0,
Grade 6,Science,Chapter 10: Living Creatures: Exploring their Characteristics,OK,2,0,
Grade 6,Science,Chapter 11: Nature’s Treasures,OK,2,0,
Grade 6,Science,Chapter 12: Beyond Earth,OK,3,0,
Grade 6,Science,Chapter 2: Diversity in the Living World,OK,5,0,
Grade 6,Science,Chapter 3: Mindful Eating: A Path to a Healthy Body,OK,7,0,
Grade 6,Science,Chapter 4: Exploring Magnets,OK,6,0,
Grade 6,Science,Chapter 5: Measurement of Length and Motion,OK,4,2,
Grade 6,Science,Chapter 6: Materials Around Us,OK,5,0,
Grade 6,Science,Chapter 7: Temperature and its Measurement,OK,5,1,
Grade 6,Science,Chapter 8: A Journey through States of Water,OK,4,1,
Grade 6,Science,Chapter 9: Methods of Separation in Everyday Life,OK,5,0,
Grade 6,Social Science,1. Locating Places on the Earth,OK,1,0,
Grade 6,Social Science,10. Grassroots Democracy — Part 1: Governance,OK,5,3,
Grade 6,Social Science,11. Grassroots Democracy — Part 2: Local Government in Rural Areas,OK,4,0,
Grade 6,Social Science,12. Grassroots Democracy — Part 3: Local Government in Urban Areas,OK,3,0,
Grade 6,Social Science,13. The Value of Work,OK,1,0,
Grade 6,Social Science,14. Economic Activities Around Us,OK,1,0,
Grade 6,Social Science,2. Oceans and Continents,OK,5,1,
Grade 6,Social Science,3. Landforms and Life,OK,2,0,
Grade 6,Social Science,4. Timeline and Sources of History,OK,5,2,
Grade 6,Social Science,"5. India, That Is Bharat",OK,6,0,
Grade 6,Social Science,6. The Beginnings of Indian Civilisation,OK,5,0,
Grade 6,Social Science,7. India's Cultural Roots,OK,3,0,
Grade 6,Social Science,"8. Unity in Diversity, or 'Many in the One'",OK,3,0,
Grade 6,Social Science,9. Family and Community,OK,5,1,
Grade 6,Social Science,History - Part 4 - 4. Timeline and Sources of History,OK,6,0,
Grade 6,Social Science,Text Book - Part 1 - 1. Locating Places on the Earth,OK,3,0,
Grade 6,Social Science,Text Book - Part 10 - 10. Grassroots Democracy — Part 1: Governance,ERROR,0,0,"unparseable LLM response: Expecting ',' delimiter: line 25 column 2 (char 1314)"
Grade 6,Social Science,Text Book - Part 11 - 11. Grassroots Democracy — Part 2: Local Government in Rural Areas,OK,3,0,
Grade 6,Social Science,Text Book - Part 12 - 12. Grassroots Democracy — Part 3: Local Government in Urban Areas,OK,2,0,
Grade 6,Social Science,Text Book - Part 13 - 13. The Value of Work,OK,4,0,
Grade 6,Social Science,Text Book - Part 14 - 14. Economic Activities Around Us,OK,3,0,
Grade 6,Social Science,Text Book - Part 2 - 2. Oceans and Continents,OK,5,0,
Grade 6,Social Science,Text Book - Part 3 - 3. Landforms and Life,OK,6,0,
Grade 6,Social Science,"Text Book - Part 5 - 5. India, That Is Bharat",OK,3,3,
Grade 6,Social Science,Text Book - Part 6 - 6. The Beginnings of Indian Civilisation,OK,7,0,
Grade 6,Social Science,Text Book - Part 7 - 7. India's Cultural Roots,OK,0,0,
Grade 6,Social Science,"Text Book - Part 8 - 8. Unity in Diversity, or 'Many in the One'",OK,5,0,
Grade 6,Social Science,Text Book - Part 9 - 9. Family and Community,OK,2,0,
Grade 7,English,Unit 1: Learning Together,OK,3,1,
Grade 7,English,Unit 2: Wit and Humour,OK,2,0,
Grade 7,English,Unit 3: Dreams and Discoveries,OK,1,1,
Grade 7,English,Unit 4: Travel and Adventure,OK,4,3,
Grade 7,English,Unit 5: Bravehearts,OK,3,0,
Grade 7,Hindi,"पाठ 1: माँ, कह एक कहानी",OK,4,0,
Grade 7,Hindi,पाठ 10: मीरा के पद,OK,6,0,
Grade 7,Hindi,पाठ 2: तीन बुद्धमान,OK,1,0,
Grade 7,Hindi,पाठ 3: फ ू ल और काँटा,OK,3,0,
Grade 7,Hindi,पाठ 4: पानी रे पानी,OK,5,0,
Grade 7,Hindi,पाठ 5: नहीं होना बीमार,OK,4,0,
Grade 7,Hindi,पाठ 6: गिरधर कविराय की कुंडलियाँ,OK,5,0,
Grade 7,Hindi,पाठ 7: वर्षा-बहार,OK,5,0,
Grade 7,Hindi,पाठ 8: बिरजू महाराज से साक्षात्कार,OK,6,0,
Grade 7,Hindi,पाठ 9: चिड़िया,OK,3,0,
Grade 7,Maths,Chapter 1: Geometric Twins,OK,5,0,
Grade 7,Maths,Chapter 1: Large Numbers Around Us,OK,2,0,
Grade 7,Maths,Chapter 2: Arithmetic Expressions,OK,5,0,
Grade 7,Maths,Chapter 2: Operations with Integers,OK,2,0,
Grade 7,Maths,Chapter 3: A Peek Beyond the Point,OK,2,0,
Grade 7,Maths,Chapter 3: Finding Common Ground,OK,8,1,
Grade 7,Maths,Chapter 4: Another Peek Beyond the Point,OK,5,3,
Grade 7,Maths,Chapter 4: Expressions using Letter-Numbers,OK,2,0,
Grade 7,Maths,Chapter 5: Connecting the Dots…,OK,3,0,
Grade 7,Maths,Chapter 5: Parallel and Intersecting Lines,OK,2,0,
Grade 7,Maths,Chapter 6: Constructions and Tilings,OK,0,0,
Grade 7,Maths,Chapter 6: Number Play,OK,0,0,
Grade 7,Maths,Chapter 7: A Tale of Three Intersecting Lines,OK,4,0,
Grade 7,Maths,Chapter 7: Finding the Unknown,OK,6,5,
Grade 7,Maths,Chapter 8: Working with Fractions,OK,5,0,
Grade 7,Science,Chapter 1: The Ever-Evolving World of Science,OK,1,0,
Grade 7,Science,Chapter 10: Life Processes in Plants,OK,9,0,
Grade 7,Science,Chapter 11: Light: Shadows and Reflections,OK,5,3,
Grade 7,Science,"Chapter 12: Earth, Moon, and the Sun",OK,2,0,
Grade 7,Science,"Chapter 2: Exploring Substances: Acidic, Basic, and Neutral",OK,5,0,
Grade 7,Science,Chapter 3: Electricity: Circuits and Their Components,OK,7,0,
Grade 7,Science,Chapter 4: The World of Metals and Non-metals,OK,5,0,
Grade 7,Science,Chapter 5: Changes Around Us: Physical and Chemical,OK,5,1,
Grade 7,Science,Chapter 6: Adolescence: A Stage of Growth and Change,OK,5,0,
Grade 7,Science,Chapter 7: Heat Transfer in Nature,OK,6,1,
Grade 7,Science,Chapter 8: Measurement of Time and Motion,OK,5,1,
Grade 7,Science,Chapter 9: Life Processes in Animals,OK,5,5,
Grade 7,Social Science,Chapter 1: Geographical Diversity of India,OK,5,0,
Grade 7,Social Science,Chapter 1: The Story of Indian Farming,OK,5,0,
Grade 7,Social Science,Chapter 10: The Constitution of India — An Introduction,OK,5,5,
Grade 7,Social Science,Chapter 11: From Barter to Money,OK,5,0,
Grade 7,Social Science,Chapter 12: Understanding Markets,OK,5,5,
Grade 7,Social Science,Chapter 2: India and Her Neighbours,OK,4,4,
Grade 7,Social Science,Chapter 2: Understanding the Weather,OK,4,1,
Grade 7,Social Science,Chapter 3: Climates of India,OK,5,0,
Grade 7,Social Science,Chapter 3: Empires and Kingdoms: 6th to 10th Centuries,OK,5,1,
Grade 7,Social Science,Chapter 4: New Beginnings: Cities and States,OK,6,1,
Grade 7,Social Science,Chapter 4: Turning Tides: 11th and 12th Centuries,OK,4,1,
Grade 7,Social Science,"Chapter 5: India, a Home to Many",OK,5,5,
Grade 7,Social Science,Chapter 5: The Rise of Empires,OK,10,5,
Grade 7,Social Science,Chapter 6: The Age of Reorganisation,OK,5,0,
Grade 7,Social Science,"Chapter 6: The State, the Government, and You",OK,1,0,
Grade 7,Social Science,Chapter 7: Infrastructure: Engine of India’s Development,OK,3,1,
Grade 7,Social Science,Chapter 7: The Gupta Era: An Age of Tireless Creativity,OK,10,0,
Grade 7,Social Science,Chapter 8: Banks and the Magic of Finance,OK,5,1,
Grade 7,Social Science,Chapter 8: How the Land Becomes Sacred,OK,3,0,
Grade 7,Social Science,Chapter 9: From the Rulers to the Ruled: Types of Governments,OK,6,1,
Grade 8,English,Unit 1: Wit and Wisdom,OK,5,1,
Grade 8,English,Unit 2: Values and Dispositions,OK,1,1,
Grade 8,English,Unit 3: Mystery and Magic,OK,1,1,
Grade 8,English,Unit 4: Environment,OK,4,1,
Grade 8,English,Unit 5: Science and Curiosity,OK,1,0,
Grade 8,Hindi,Chapter 1: स्वदेश,OK,5,0,
Grade 8,Hindi,Chapter 10: तरुण के स्वप्न,OK,1,0,
Grade 8,Hindi,Chapter 2: दो गौरैैयाा,OK,5,0,
Grade 8,Hindi,Chapter 3: एक आशीर्वाद,OK,2,0,
Grade 8,Hindi,Chapter 4: हरिद्वार,OK,1,0,
Grade 8,Hindi,Chapter 5: कबीर के दोहे,OK,5,0,
Grade 8,Hindi,Chapter 6: एक टोकरी भर मिट्टी,OK,4,0,
Grade 8,Hindi,Chapter 7: मत बाँधो,OK,5,0,
Grade 8,Hindi,Chapter 8: नए मेहमान,OK,2,0,
Grade 8,Hindi,Chapter 9: आदमी का अनुपात,OK,5,0,
Grade 8,Maths,Chapter 1: A Square and A Cube,ERROR,0,0,"unparseable LLM response: Expecting ',' delimiter: line 30 column 2 (char 759)"
Grade 8,Maths,Chapter 10: Proportional Reasoning-2,OK,13,0,
Grade 8,Maths,Chapter 11: Exploring Some Geometric Themes,OK,4,1,
Grade 8,Maths,Chapter 12: Tales by Dots and Lines,OK,1,0,
Grade 8,Maths,Chapter 13: Algebra Play,OK,3,0,
Grade 8,Maths,Chapter 14: Area,OK,1,0,
Grade 8,Maths,Chapter 2: Power Play,OK,6,0,
Grade 8,Maths,Chapter 3: A Story of Numbers,OK,2,0,
Grade 8,Maths,Chapter 4: Quadrilaterals,OK,6,0,
Grade 8,Maths,Chapter 5: Number Play,OK,0,0,
Grade 8,Maths,"Chapter 6: We Distribute, Yet Things Multiply",OK,3,0,
Grade 8,Maths,Chapter 7: Proportional Reasoning-1,OK,5,3,
Grade 8,Maths,Chapter 8: Fractions in Disguise,OK,4,0,
Grade 8,Maths,Chapter 9: The Baudhayana-Pythagoras Theorem,OK,5,0,
Grade 8,Maths,Part 1 - Exemplar: Algebraic Expressions and Identities,OK,1,0,
Grade 8,Maths,Part 1 - Exemplar: Data Handling,OK,19,0,
Grade 8,Maths,Part 1 - Exemplar: Introduction to Graphs,OK,2,0,
Grade 8,Maths,Part 1 - Exemplar: Linear Equation in One Variable,OK,2,0,
Grade 8,Maths,Part 1 - Exemplar: Mensuration,OK,7,7,
Grade 8,Maths,Part 1 - Exemplar: Playing with Numbers,ERROR,0,0,unparseable LLM response: Invalid \escape: line 21 column 36 (char 445)
Grade 8,Maths,Part 1 - Exemplar: Rational Numbers,OK,10,0,
Grade 8,Maths,Part 1 - Exemplar: Square-Square Root and Cube-Cube Root,OK,2,0,
Grade 8,Maths,Part 1 - Exemplar: Understanding Quadrilaterals and Practical Geometry,OK,5,3,
Grade 8,Maths,Part 1 - Exemplar: Visualising Solid Shapes,OK,0,0,
Grade 8,Science,Chapter 1: Exploring the Investigative World of Science,OK,4,0,
Grade 8,Science,Chapter 10: Light: Mirrors and Lenses,OK,8,1,
Grade 8,Science,Chapter 11: Keeping Time with the Skies,OK,5,2,
Grade 8,Science,Chapter 12: How Nature Works in Harmony,OK,5,5,
Grade 8,Science,"Chapter 13: Our Home: Earth, a Unique Life Sustaining Planet",OK,5,1,
Grade 8,Science,Chapter 2: The Invisible Living World: Beyond Our Naked Eye,OK,5,0,
Grade 8,Science,Chapter 3: Health: The Ultimate Treasure,OK,5,1,
Grade 8,Science,Chapter 4: Electricity: Magnetic and Heating Effects,OK,5,0,
Grade 8,Science,Chapter 5: Exploring Forces,OK,5,1,
Grade 8,Science,"Chapter 6: Pressure, Winds, Storms, and Cyclones",OK,7,0,
Grade 8,Science,Chapter 7: Particulate Nature of Matter,OK,5,0,
Grade 8,Science,"Chapter 8: Nature of Matter: Elements, Compounds, and Mixtures",OK,5,3,
Grade 8,Science,"Chapter 9: The Amazing World of Solutes, Solvents, and Solutions",OK,4,1,
Grade 8,Social Science,Chapter 1: Natural Resources and Their Use,OK,8,1,
Grade 8,Social Science,Chapter 10: A Journey Through Indian Architecture,OK,3,0,
Grade 8,Social Science,Chapter 11: The Role of the Judiciary in Our Society,OK,2,0,
Grade 8,Social Science,Chapter 12: Citizenship: Rights and Duties,OK,1,0,
Grade 8,Social Science,Chapter 13: Dynamics of Population,OK,4,0,
Grade 8,Social Science,Chapter 14: India's Urban Landscape,OK,5,4,
Grade 8,Social Science,Chapter 15: Cultural Currents: 13th to 17th Centuries,OK,2,0,
Grade 8,Social Science,Chapter 2: Reshaping India’s Political Map,OK,5,0,
Grade 8,Social Science,Chapter 3: The Rise of the Marathas,OK,10,2,
Grade 8,Social Science,Chapter 4: The Colonial Era in India,OK,5,0,
Grade 8,Social Science,Chapter 5: Universal Franchise and India’s Electoral System,OK,5,0,
Grade 8,Social Science,Chapter 6: The Parliamentary System: Legislature and Executive,OK,4,1,
Grade 8,Social Science,Chapter 7: Factors of Production,OK,5,1,
Grade 8,Social Science,Chapter 8: World Geography: Some Glimpses,OK,1,1,
Grade 8,Social Science,Chapter 9: India's Long Road to Independence,OK,5,0,
Grade 9,Advanced Mathematics,Advanced - Combinatorics,OK,1,1,
Grade 9,Advanced Mathematics,Advanced - Coordinate Geometry,OK,3,1,
Grade 9,Advanced Mathematics,Advanced - Exploring some more Progressions,OK,1,0,
Grade 9,Advanced Mathematics,Advanced - Logarithms,OK,2,0,
Grade 9,Advanced Mathematics,Advanced - Relations and Functions,OK,1,0,
Grade 9,Advanced Mathematics,Advanced - Sets,OK,30,0,
Grade 9,Advanced Science,Advanced - Chemical Bonding,OK,3,1,
Grade 9,Advanced Science,Advanced - Engineering Life: Miracles in Biotechnology,OK,6,2,
Grade 9,Advanced Science,Advanced - Measurement: Foundation of Science,OK,6,2,
Grade 9,Advanced Science,Advanced - Microscope and Microscopy,OK,2,0,
Grade 9,Advanced Science,Advanced - Mixtures and their Separation,OK,4,1,
Grade 9,Advanced Science,Advanced - Newton's Laws of Motion,OK,3,2,
Grade 9,Advanced Science,Advanced - Structure of Atom,OK,2,1,
Grade 9,Advanced Science,Advanced - The Geometry of Power: Advanced Simple Machines,OK,5,0,
Grade 9,Advanced Science,Advanced - Understanding Motion through Experience,OK,5,0,
Grade 9,Advanced Science,Advanced - Work and Energy,OK,6,0,
Grade 9,English,Chapter 1: How I Taught My Grandmother to Read,OK,1,1,
Grade 9,English,Chapter 2: The Pot Maker,OK,4,0,
Grade 9,English,Chapter 3: Winds of Change,OK,5,1,
Grade 9,English,Chapter 4: Vitamin-M,OK,3,0,
Grade 9,English,Chapter 5: The World of Limitless Possibilities,OK,4,2,
Grade 9,English,Chapter 6: Twin Melodies,OK,3,1,
Grade 9,English,Chapter 7: Carrier of Words,OK,2,0,
Grade 9,English,Chapter 8: Follow That Dream,OK,3,1,
Grade 9,English,Grammar: Active and Passive Voice,OK,1,0,
Grade 9,English,"Grammar: Clauses (Noun, Adjective and Adverb Clauses)",OK,2,0,
Grade 9,English,"Grammar: Commands, Requests and Exclamations in Reported Speech",OK,4,0,
Grade 9,English,Grammar: Determiners,OK,2,0,
Grade 9,English,Grammar: Modals,OK,2,0,
Grade 9,English,Grammar: Reported Speech (Statements and Questions),OK,1,0,
Grade 9,English,Grammar: Subject-Verb Concord,OK,2,2,
Grade 9,English,Grammar: Tenses,OK,3,0,
Grade 9,English Supplementary Reader,Chapter 1: The Lost Child,OK,5,0,
Grade 9,English Supplementary Reader,Chapter 10: The Beggar,OK,4,0,
Grade 9,English Supplementary Reader,Chapter 2: The Adventures of Toto,OK,3,0,
Grade 9,English Supplementary Reader,Chapter 3: Iswaran the Storyteller,OK,5,0,
Grade 9,English Supplementary Reader,Chapter 4: In the Kingdom of Fools,OK,5,0,
Grade 9,English Supplementary Reader,Chapter 5: The Happy Prince,OK,4,1,
Grade 9,English Supplementary Reader,Chapter 6: Weathering the Storm in Ersama,OK,5,5,
Grade 9,English Supplementary Reader,Chapter 7: The Last Leaf,OK,4,0,
Grade 9,English Supplementary Reader,Chapter 8: A House Is Not a Home,OK,5,0,
Grade 9,English Supplementary Reader,Chapter 9: The Accidental Tourist,OK,5,0,
Grade 9,Hindi,अध्याय 1: दो बैलों की कथा,OK,2,0,
Grade 9,Hindi,"अध्याय 10: भारति, जय, विजय करो!",OK,10,0,
Grade 9,Hindi,अध्याय 11: झाँसी की रानी,OK,6,0,
Grade 9,Hindi,अध्याय 12: घर की याद,OK,5,0,
Grade 9,Hindi,अध्याय 2: क्या लिखूँ?,OK,4,0,
Grade 9,Hindi,अध्याय 3: संवादहीन,OK,5,0,
Grade 9,Hindi,अध्याय 4: ऐसी भी बातें होती हैं,OK,5,0,
Grade 9,Hindi,अध्याय 5: आखिरी चट्टान तक,OK,4,0,
Grade 9,Hindi,अध्याय 6: रीढ़ की हड्डी,OK,5,0,
Grade 9,Hindi,अध्याय 7: मैं और मेरा देश,OK,5,0,
Grade 9,Hindi,अध्याय 8: पद,OK,4,0,
Grade 9,Hindi,अध्याय 9: राम-लक्ष्मण-परशुराम संवाद,OK,7,0,
Grade 9,Maths,Chapter 1: Orienting Yourself: The Use of Coordinates,OK,4,0,
Grade 9,Maths,Chapter 2: Introduction to Linear Polynomials,OK,3,0,
Grade 9,Maths,Chapter 3: The World of Numbers,OK,5,5,
Grade 9,Maths,Chapter 4: Exploring Algebraic Identities,OK,3,1,
Grade 9,Maths,"Chapter 5: I’m Up and Down, and Round and Round",OK,6,3,
Grade 9,Maths,Chapter 6: Measuring Space: Perimeter and Area,OK,5,5,
Grade 9,Maths,Chapter 7: The Mathematics of Maybe: Introduction to Probability,OK,2,0,
Grade 9,Maths,Chapter 8: Predicting What Comes Next: Exploring Sequences and Progressions,OK,5,0,
Grade 9,Maths,Introduction to Linear Polynomials,OK,1,0,
Grade 9,Maths,Orienting Yourself: The Use of Coordinates,OK,1,0,
Grade 9,Maths,Predicting What Comes Next: Exploring Sequences and Progressions,OK,1,0,
Grade 9,Maths,The Mathematics of Maybe: Introduction to Probability,OK,8,5,
Grade 9,Science,Atomic Foundations of Matter,OK,5,0,
Grade 9,Science,Cell: The Building Block of Life,OK,2,0,
Grade 9,Science,Chapter 1: Exploration: Entering the World of Secondary Science,OK,9,0,
Grade 9,Science,Chapter 10: Sound Waves: Characteristics and Applications,OK,5,0,
Grade 9,Science,Chapter 11: Reproduction: How Life Continues,OK,10,0,
Grade 9,Science,Chapter 12: Patterns in Life: Diversity and Classification,OK,4,1,
Grade 9,Science,"Chapter 13: Earth as a System: Energy, Matter, and Life",OK,3,1,
Grade 9,Science,Chapter 2: Cell: The Building Block of Life,OK,7,0,
Grade 9,Science,Chapter 3: Tissues in Action,OK,4,0,
Grade 9,Science,Chapter 4: Describing Motion Around Us,OK,4,0,
Grade 9,Science,Chapter 5: Exploring Mixtures and Their Separation,OK,6,0,
Grade 9,Science,Chapter 6: How Forces Affect Motion,OK,5,0,
Grade 9,Science,"Chapter 7: Work, Energy, and Simple Machines",OK,11,0,
Grade 9,Science,Chapter 8: Journey Inside the Atom,OK,3,0,
Grade 9,Science,Chapter 9: Atomic Foundations of Matter,OK,1,0,
Grade 9,Science,Describing Motion Around Us,OK,2,1,
Grade 9,Science,"Earth as a System: Energy, Matter, and Life",OK,3,0,
Grade 9,Science,Exploration: Entering the World of Secondary Science,OK,7,0,
Grade 9,Science,Exploring Mixtures and their Separation,OK,2,0,
Grade 9,Science,How Forces Affect Motion,OK,3,0,
Grade 9,Science,Journey Inside the Atom,OK,3,0,
Grade 9,Science,Matter in Our Surroundings,OK,3,0,
Grade 9,Science,Patterns in Life: Diversity and Classification,OK,4,1,
Grade 9,Science,Reproduction: How Life Continues,OK,1,0,
Grade 9,Science,Sound Waves: Characteristics and Applications,OK,4,0,
Grade 9,Science,Tissues in Action,OK,9,1,
Grade 9,Science,"Work, Energy, and Simple Machines",OK,10,0,
Grade 9,Social Science,Chapter 1: Understanding Social Science,OK,5,1,
Grade 9,Social Science,Chapter 2: Shaping of the Earth's Surface,OK,5,0,
Grade 9,Social Science,Chapter 3: Atmosphere and Climate,OK,6,0,
Grade 9,Social Science,Chapter 4: Early Humans and Beginning of Civilisation,OK,5,2,
Grade 9,Social Science,Chapter 5: State and Society up to 1000 CE,OK,6,0,
Grade 9,Social Science,Chapter 6: Democracy,OK,9,1,
Grade 9,Social Science,Chapter 7: Elections,OK,1,0,
Grade 9,Social Science,Chapter 8: Building Blocks in Economics: The Problem of Choice,OK,4,1,
Grade 9,Social Science,Chapter 9: The Price Puzzle: What Drives the Market,OK,0,0,
Grade 9,Social Science,Uploaded Book Content,OK,1,0,
Grade 10,English,Chapter 1: A Letter to God,OK,3,0,
Grade 10,English,Chapter 1: A Triumph of Surgery,OK,5,0,
Grade 10,English,Chapter 2: Nelson Mandela: Long Walk to Freedom,OK,4,1,
Grade 10,English,Chapter 2: The Thief's Story,OK,4,0,
Grade 10,English,Chapter 3: The Midnight Visitor,OK,1,0,
Grade 10,English,Chapter 3: Two Stories about Flying,OK,4,1,
Grade 10,English,Chapter 4: A Question of Trust,OK,5,0,
Grade 10,English,Chapter 4: From the Diary of Anne Frank,OK,1,0,
Grade 10,English,Chapter 5: Footprints without Feet,OK,5,0,
Grade 10,English,Chapter 5: Glimpses of India,OK,6,3,
Grade 10,English,Chapter 6: Mijbil the Otter,OK,4,0,
Grade 10,English,Chapter 6: The Making of a Scientist,OK,2,0,
Grade 10,English,Chapter 7: Madam Rides the Bus,OK,1,0,
Grade 10,English,Chapter 7: The Necklace,OK,2,0,
Grade 10,English,Chapter 8: Bholi,OK,2,0,
Grade 10,English,Chapter 8: The Sermon at Benares,OK,5,0,
Grade 10,English,Chapter 9: The Book That Saved the Earth,OK,6,0,
Grade 10,English,Chapter 9: The Proposal,OK,1,0,
Grade 10,English,Grammar: Active and Passive Voice (Advanced Usage),OK,1,0,
Grade 10,English,Grammar: Clauses and Sentence Transformation,OK,4,4,
Grade 10,English,Grammar: Determiners (Advanced Usage),OK,5,0,
Grade 10,English,Grammar: Editing and Omission (Error Correction),OK,2,0,
Grade 10,English,Grammar: Modals (Advanced Usage),OK,3,0,
Grade 10,English,Grammar: Reported Speech (All Sentence Types),OK,1,0,
Grade 10,English,Grammar: Subject-Verb Concord (Advanced Rules),OK,3,0,
Grade 10,English,Grammar: Tenses (Advanced Usage),OK,3,0,
Grade 10,English,Supplementary Reader - Chapter 1: A Triumph of Surgery,OK,2,2,
Grade 10,English,Supplementary Reader - Chapter 2: The Thief's Story,OK,2,1,
Grade 10,English,Supplementary Reader - Chapter 3: The Midnight Visitor,ERROR,0,0,"unparseable LLM response: Expecting ',' delimiter: line 31 column 2 (char 1251)"
Grade 10,English,Supplementary Reader - Chapter 4: A Question of Trust,OK,4,1,
Grade 10,English,Supplementary Reader - Chapter 5: Footprints without Feet,OK,6,3,
Grade 10,English,Supplementary Reader - Chapter 6: The Making of a Scientist,OK,2,2,
Grade 10,English,Supplementary Reader - Chapter 7: The Necklace,OK,2,2,
Grade 10,English,Supplementary Reader - Chapter 8: Bholi,OK,3,0,
