grade,subject,chapter,mode,board,cached_steps,expected_steps,milestones,quickchecks,status
Grade 10,Maths,Chapter 8: Introduction to Trigonometry,CBSE,CBSE,6,6,6,0,stored
Grade 10,Maths,Chapter 9: Some Applications of Trigonometry,CBSE,CBSE,6,6,6,0,stored
Grade 10,Maths,Exemplar: Areas Related to Circles,CBSE,CBSE,6,6,6,0,stored
Grade 10,Maths,Exemplar: Arithmetic Progressions,CBSE,CBSE,6,6,6,0,stored
Grade 10,Maths,Exemplar: Circles,CBSE,CBSE,6,6,6,0,stored
Grade 10,Maths,Exemplar: Constructions,CBSE,CBSE,6,6,6,0,stored
Grade 10,Maths,Exemplar: Coordinate Geometry,CBSE,CBSE,6,6,6,1,stored
Grade 10,Maths,Exemplar: Introduction to Trigonometry and Its Applications,CBSE,CBSE,6,6,6,0,stored
Grade 10,Maths,Exemplar: Pair of Linear Equations in Two Variables,CBSE,CBSE,6,6,6,0,stored
Grade 10,Maths,Exemplar: Polynomials,CBSE,CBSE,6,6,6,0,stored
Grade 10,Maths,Exemplar: Probability,CBSE,CBSE,6,6,6,0,stored
Grade 10,Maths,Exemplar: Quadratic Equations,CBSE,CBSE,6,6,6,0,stored
Grade 10,Maths,Exemplar: Real Numbers,CBSE,CBSE,6,6,6,0,stored
Grade 10,Maths,Exemplar: Statistics,CBSE,CBSE,6,6,6,0,stored
Grade 10,Maths,Exemplar: Statistics and Probability,CBSE,CBSE,6,6,6,0,stored
Grade 10,Maths,Exemplar: Surface Areas and Volumes,CBSE,CBSE,6,6,6,0,stored
Grade 10,Maths,Exemplar: Triangles,CBSE,CBSE,6,6,6,0,stored
Grade 10,Science,Chapter 10: The Human Eye and the Colourful World,CBSE,CBSE,6,6,6,0,stored
Grade 10,Science,Chapter 11: Electricity,CBSE,CBSE,6,6,6,0,stored
Grade 10,Science,Chapter 12: Magnetic Effects of Electric Current,CBSE,CBSE,6,6,6,0,stored
Grade 10,Science,Chapter 13: Our Environment,CBSE,CBSE,6,6,6,0,stored
Grade 10,Science,Chapter 1: Chemical Reactions and Equations,CBSE,CBSE,6,6,6,0,stored
Grade 10,Science,"Chapter 2: Acids, Bases and Salts",CBSE,CBSE,6,6,6,0,stored
Grade 10,Science,Chapter 3: Metals and Non-metals,CBSE,CBSE,6,6,6,0,stored
Grade 10,Science,Chapter 4: Carbon and Its Compounds,CBSE,CBSE,6,6,6,0,stored
Grade 10,Science,Chapter 5: Life Processes,CBSE,CBSE,6,6,6,0,stored
Grade 10,Science,Chapter 6: Control and Coordination,CBSE,CBSE,6,6,6,0,stored
Grade 10,Science,Chapter 7: How do Organisms Reproduce?,CBSE,CBSE,6,6,6,0,stored
Grade 10,Science,Chapter 8: Heredity,CBSE,CBSE,6,6,6,0,stored
Grade 10,Science,Chapter 9: Light – Reflection and Refraction,CBSE,CBSE,6,6,6,0,stored
Grade 10,Science,"Exemplar: Acids, Bases and Salts",CBSE,CBSE,6,6,6,0,stored
Grade 10,Science,Exemplar: Carbon and Its Compounds,CBSE,CBSE,6,6,6,0,stored
Grade 10,Science,Exemplar: Carbon and Its Compounds (Advanced),CBSE,CBSE,6,6,6,0,stored
Grade 10,Science,Exemplar: Chemical Reactions and Equations,CBSE,CBSE,6,6,6,0,stored
Grade 10,Science,Exemplar: Chemical Reactions and Equations (Advanced),CBSE,CBSE,6,6,6,0,stored
Grade 10,Science,Exemplar: Control and Coordination,CBSE,CBSE,6,6,6,0,stored
Grade 10,Science,Exemplar: Electricity,CBSE,CBSE,6,6,6,0,stored
Grade 10,Science,Exemplar: Heredity and Evolution,CBSE,CBSE,6,6,6,0,stored
Grade 10,Science,Exemplar: How Do Organisms Reproduce,CBSE,CBSE,6,6,6,0,stored
Grade 10,Science,Exemplar: Human Eye and the Colourful World,CBSE,CBSE,6,6,6,0,stored
Grade 10,Science,Exemplar: Life Processes,CBSE,CBSE,6,6,6,0,stored
Grade 10,Science,Exemplar: Light - Reflection and Refraction,CBSE,CBSE,6,6,6,0,stored
Grade 10,Science,Exemplar: Magnetic Effects of Electric Current,CBSE,CBSE,6,6,6,0,stored
Grade 10,Science,Exemplar: Management of Natural Resources,CBSE,CBSE,6,6,6,0,stored
Grade 10,Science,Exemplar: Metals and Non-metals,CBSE,CBSE,6,6,6,1,stored
Grade 10,Science,Exemplar: Our Environment,CBSE,CBSE,6,6,6,0,stored
Grade 10,Science,Exemplar: Periodic Classification of Elements,CBSE,CBSE,6,6,6,0,stored
Grade 10,Science,Exemplar: Sources of Energy,CBSE,CBSE,6,6,6,0,stored
Grade 10,Social Science,Geography - Chapter 1: Resources and Development,CBSE,CBSE,6,6,6,0,stored
Grade 10,Social Science,Geography - Chapter 2: Forest and Wildlife Resources,CBSE,CBSE,6,6,6,0,stored
Grade 10,Social Science,Geography - Chapter 3: Water Resources,CBSE,CBSE,6,6,6,0,stored
Grade 10,Social Science,Geography - Chapter 4: Agriculture,CBSE,CBSE,6,6,6,0,stored
Grade 10,Social Science,Geography - Chapter 5: Minerals and Energy Resources,CBSE,CBSE,6,6,6,0,stored
Grade 10,Social Science,Geography - Chapter 6: Manufacturing Industries,CBSE,CBSE,6,6,6,0,stored
Grade 10,Social Science,Geography - Chapter 7: Lifelines of National Economy,CBSE,CBSE,6,6,6,0,stored
Grade 10,Social Science,History - Chapter 1: The Rise of Nationalism in Europe,CBSE,CBSE,6,6,6,0,stored
Grade 10,Social Science,History - Chapter 2: Nationalism in India,CBSE,CBSE,6,6,6,0,stored
Grade 10,Social Science,History - Chapter 3: The Making of a Global World,CBSE,CBSE,6,6,6,0,stored
Grade 10,Social Science,History - Chapter 4: The Age of Industrialisation,CBSE,CBSE,6,6,6,0,stored
Grade 10,Social Science,History - Chapter 5: Print Culture and the Modern World,CBSE,CBSE,6,6,6,0,stored
Grade 10,Social Science,Political Science - Chapter 1: Power-sharing,CBSE,CBSE,6,6,6,0,stored
Grade 10,Social Science,Political Science - Chapter 2: Federalism,CBSE,CBSE,6,6,6,0,stored
Grade 10,Social Science,"Political Science - Chapter 3: Gender, Religion and Caste",CBSE,CBSE,6,6,6,0,stored
Grade 10,Social Science,Political Science - Chapter 4: Political Parties,CBSE,CBSE,6,6,6,0,stored
Grade 10,Social Science,Political Science - Chapter 5: Outcomes of Democracy,CBSE,CBSE,6,6,6,0,stored
Grade 10,Social Science,Text Book - Chapter 1: Development,CBSE,CBSE,6,6,6,0,stored
Grade 10,Social Science,Text Book - Chapter 2: Sectors of the Indian Economy,CBSE,CBSE,6,6,6,0,stored
Grade 10,Social Science,Text Book - Chapter 3: Money and Credit,CBSE,CBSE,6,6,6,0,stored
Grade 10,Social Science,Text Book - Chapter 4: Globalisation and the Indian Economy,CBSE,CBSE,6,6,6,0,stored
Grade 10,Social Science,Text Book - Chapter 5: Consumer Rights,CBSE,CBSE,6,6,6,0,stored
Grade 11,Accountancy,Bank Reconciliation Statement,CBSE,CBSE,5,6,5,0,stored
Grade 11,Accountancy,Bill of Exchange,CBSE,CBSE,5,6,5,0,stored
Grade 11,Accountancy,"Depreciation, Provisions and Reserves",CBSE,CBSE,5,6,5,0,stored
Grade 11,Accountancy,Financial Statements – I,CBSE,CBSE,5,6,5,0,stored
Grade 11,Accountancy,Introduction to Accounting,CBSE,CBSE,5,6,5,0,stored
Grade 11,Accountancy,Recording of Transactions – I,CBSE,CBSE,5,6,5,0,stored
Grade 11,Accountancy,Recording of Transactions – II,CBSE,CBSE,5,6,5,0,stored
Grade 11,Accountancy,Theory Base of Accounting,CBSE,CBSE,5,6,5,0,stored
Grade 11,Accountancy,Trial Balance and Rectification of Errors,CBSE,CBSE,5,6,5,0,stored
Grade 11,Biology,Anatomy of Flowering Plants,CBSE,CBSE,5,6,5,0,stored
Grade 11,Biology,Animal Kingdom,CBSE,CBSE,5,6,5,0,stored
Grade 11,Biology,Biological Classification,CBSE,CBSE,5,6,5,0,stored
Grade 11,Biology,Biomolecules,CBSE,CBSE,5,6,5,0,stored
Grade 11,Biology,Body Fluids and Circulation,CBSE,CBSE,5,6,5,0,stored
Grade 11,Biology,Breathing and Exchange of Gases,CBSE,CBSE,5,6,5,0,stored
Grade 11,Biology,Cell Cycle and Cell Division,CBSE,CBSE,5,6,5,0,stored
Grade 11,Biology,Cell: The Unit of Life,CBSE,CBSE,5,6,5,0,stored
Grade 11,Biology,Digestion and Absorption,CBSE,CBSE,5,6,5,0,stored
Grade 11,Biology,Excretory Products and Their Elimination,CBSE,CBSE,5,6,5,0,stored
Grade 11,Biology,Exemplar: Anatomy of Flowering Plants,CBSE,CBSE,5,6,5,0,stored
Grade 11,Biology,Exemplar: Animal Kingdom,CBSE,CBSE,5,6,5,0,stored
Grade 11,Biology,Exemplar: Biological Classification,CBSE,CBSE,5,6,5,0,stored
Grade 11,Biology,Exemplar: Biomolecules,CBSE,CBSE,5,6,5,0,stored
Grade 11,Biology,Exemplar: Body Fluids and Circulation,CBSE,CBSE,5,6,5,0,stored
Grade 11,Biology,Exemplar: Breathing and Exchange of Gases,CBSE,CBSE,5,6,5,0,stored
Grade 11,Biology,Exemplar: Cell Cycle and Cell Division,CBSE,CBSE,5,6,5,0,stored
Grade 11,Biology,Exemplar: Cell: The Unit of Life,CBSE,CBSE,5,6,5,0,stored
Grade 11,Biology,Exemplar: Chemical Coordination and Integration,CBSE,CBSE,5,6,5,0,stored
Grade 11,Biology,Exemplar: Digestion and Absorption,CBSE,CBSE,5,6,5,0,stored
Grade 11,Biology,Exemplar: Excretory Products and Their Elimination,CBSE,CBSE,5,6,5,0,stored
Grade 11,Biology,Exemplar: Locomotion and Movement,CBSE,CBSE,5,6,5,0,stored
Grade 11,Biology,Exemplar: Mineral Nutrition,CBSE,CBSE,5,6,5,0,stored
Grade 11,Biology,Exemplar: Morphology of Flowering Plants,CBSE,CBSE,5,6,5,0,stored
Grade 11,Biology,Exemplar: Neural Control and Coordination,CBSE,CBSE,5,6,5,0,stored
Grade 11,Biology,Exemplar: Photosynthesis in Higher Plants,CBSE,CBSE,5,6,5,0,stored
Grade 11,Biology,Exemplar: Plant Growth and Development,CBSE,CBSE,5,6,5,0,stored
Grade 11,Biology,Exemplar: Plant Kingdom,CBSE,CBSE,5,6,5,0,stored
Grade 11,Biology,Exemplar: Respiration in Plants,CBSE,CBSE,5,6,5,0,stored
Grade 11,Biology,Exemplar: Structural Organisation in Animals,CBSE,CBSE,5,6,5,0,stored
Grade 11,Biology,Exemplar: The Living World,CBSE,CBSE,5,6,5,0,stored
Grade 11,Biology,Exemplar: Transport in Plants,CBSE,CBSE,5,6,5,0,stored
Grade 11,Biology,Mineral Nutrition,CBSE,CBSE,5,6,5,0,stored
Grade 11,Biology,Morphology of Flowering Plants,CBSE,CBSE,5,6,5,0,stored
Grade 11,Biology,Photosynthesis in Higher Plants,CBSE,CBSE,5,6,5,0,stored
Grade 11,Biology,Plant Growth and Development,CBSE,CBSE,5,6,5,0,stored
Grade 11,Biology,Plant Kingdom,CBSE,CBSE,5,6,5,0,stored
Grade 11,Biology,Respiration in Plants,CBSE,CBSE,5,6,5,0,stored
Grade 11,Biology,Structural Organisation in Animals,CBSE,CBSE,5,6,5,0,stored
Grade 11,Biology,The Living World,CBSE,CBSE,5,6,5,0,stored
Grade 11,Biology,Transport in Plants,CBSE,CBSE,5,6,5,0,stored
Grade 11,Business Studies,Business Services,CBSE,CBSE,5,6,5,0,stored
Grade 11,Business Studies,"Business, Trade and Commerce",CBSE,CBSE,5,6,5,0,stored
Grade 11,Business Studies,Emerging Modes of Business,CBSE,CBSE,5,6,5,0,stored
Grade 11,Business Studies,Formation of a Company,CBSE,CBSE,5,6,5,0,stored
Grade 11,Business Studies,Forms of Business Organisation,CBSE,CBSE,5,6,5,0,stored
Grade 11,Business Studies,Internal Trade,CBSE,CBSE,5,6,5,0,stored
Grade 11,Business Studies,"Private, Public and Global Enterprises",CBSE,CBSE,5,6,5,0,stored
Grade 11,Business Studies,Small Business,CBSE,CBSE,5,6,5,0,stored
Grade 11,Business Studies,Social Responsibilities of Business and Business Ethics,CBSE,CBSE,5,6,5,0,stored
Grade 11,Business Studies,Sources of Business Finance,CBSE,CBSE,5,6,5,0,stored
Grade 11,Chemistry,Chemical Bonding and Molecular Structure,CBSE,CBSE,5,6,5,0,stored
Grade 11,Chemistry,Classification of Elements and Periodicity in Properties,CBSE,CBSE,5,6,5,0,stored
Grade 11,Chemistry,Equilibrium,CBSE,CBSE,5,6,5,0,stored
Grade 11,Chemistry,Hydrogen,CBSE,CBSE,5,6,5,0,stored
Grade 11,Chemistry,Redox Reactions,CBSE,CBSE,5,6,5,0,stored
Grade 11,Chemistry,Some Basic Concepts of Chemistry,CBSE,CBSE,5,6,5,0,stored
Grade 11,Chemistry,States of Matter,CBSE,CBSE,5,6,5,0,stored
Grade 11,Chemistry,Structure of Atom,CBSE,CBSE,5,6,5,0,stored
Grade 11,Chemistry,Thermodynamics,CBSE,CBSE,5,6,5,0,stored
Grade 11,Economics,Collection of Data,CBSE,CBSE,5,6,5,0,stored
Grade 11,Economics,Correlation,CBSE,CBSE,5,6,5,0,stored
Grade 11,Economics,"Employment: Growth, Informalisation and Other Issues",CBSE,CBSE,5,6,5,0,stored
Grade 11,Economics,Human Capital Formation in India,CBSE,CBSE,5,6,5,0,stored
Grade 11,Economics,Index Numbers,CBSE,CBSE,5,6,5,0,stored
Grade 11,Economics,Indian Economy 1950–1990,CBSE,CBSE,5,6,5,0,stored
Grade 11,Economics,Indian Economy on the Eve of Independence,CBSE,CBSE,5,6,5,0,stored
Grade 11,Economics,Infrastructure,CBSE,CBSE,5,6,5,0,stored
Grade 11,Economics,Introduction to Statistics,CBSE,CBSE,5,6,5,0,stored
Grade 11,Economics,"Liberalisation, Privatisation and Globalisation",CBSE,CBSE,5,6,5,0,stored
Grade 11,Economics,Measures of Central Tendency,CBSE,CBSE,5,6,5,0,stored
Grade 11,Economics,Measures of Dispersion,CBSE,CBSE,5,6,5,0,stored
Grade 11,Economics,Organisation of Data,CBSE,CBSE,5,6,5,0,stored
Grade 11,Economics,Poverty,CBSE,CBSE,5,6,5,0,stored
Grade 11,Economics,Presentation of Data,CBSE,CBSE,5,6,5,0,stored
Grade 11,Economics,Rural Development,CBSE,CBSE,5,6,5,0,stored
Grade 11,English,Discovering Tut: the Saga Continues,CBSE,CBSE,5,6,5,0,stored
Grade 11,English,Landscape of the Soul,CBSE,CBSE,5,6,5,0,stored
Grade 11,English,The Ailing Planet: The Green Movement's Role,CBSE,CBSE,5,6,5,0,stored
Grade 11,English,The Portrait of a Lady,CBSE,CBSE,5,6,5,0,stored
Grade 11,English,We're Not Afraid to Die,CBSE,CBSE,5,6,5,0,stored
Grade 11,Geography,Climate,CBSE,CBSE,5,6,5,0,stored
Grade 11,Geography,Distribution of Oceans and Continents,CBSE,CBSE,5,6,5,0,stored
Grade 11,Geography,Drainage System,CBSE,CBSE,5,6,5,0,stored
Grade 11,Geography,Geography as a Discipline,CBSE,CBSE,5,6,5,0,stored
Grade 11,Geography,Geomorphic Processes,CBSE,CBSE,5,6,5,0,stored
Grade 11,Geography,Human Settlements,CBSE,CBSE,5,6,5,0,stored
Grade 11,Geography,India — Location,CBSE,CBSE,5,6,5,0,stored
Grade 11,Geography,Interior of the Earth,CBSE,CBSE,5,6,5,0,stored
Grade 11,Geography,Migration,CBSE,CBSE,5,6,5,0,stored
Grade 11,Geography,Minerals and Rocks,CBSE,CBSE,5,6,5,0,stored
Grade 11,Geography,Natural Hazards and Disasters,CBSE,CBSE,5,6,5,0,stored
Grade 11,Geography,Natural Vegetation,CBSE,CBSE,5,6,5,0,stored
Grade 11,Geography,Population,CBSE,CBSE,5,6,5,0,stored
Grade 11,Geography,Soils,CBSE,CBSE,5,6,5,0,stored
Grade 11,Geography,Structure and Physiography,CBSE,CBSE,5,6,5,0,stored
Grade 11,Geography,The Origin and Evolution of the Earth,CBSE,CBSE,5,6,5,0,stored
Grade 11,Hindi,Anubhav,CBSE,CBSE,5,6,5,0,stored
Grade 11,Hindi,Awara Masiha,CBSE,CBSE,5,6,5,0,stored
Grade 11,Hindi,Husain Ki Kahani Apni Zubani,CBSE,CBSE,5,6,5,0,stored
Grade 11,Hindi,Mera Baap Bada Na Mera Chacha,CBSE,CBSE,5,6,5,0,stored
Grade 11,Hindi,Namak,CBSE,CBSE,5,6,5,0,stored
Grade 11,History,An Empire Across Three Continents,CBSE,CBSE,5,6,5,0,stored
Grade 11,History,Changing Cultural Traditions,CBSE,CBSE,5,6,5,0,stored
Grade 11,History,Confrontation of Cultures,CBSE,CBSE,5,6,5,0,stored
Grade 11,History,Displacing Indigenous Peoples,CBSE,CBSE,5,6,5,0,stored
Grade 11,History,From the Beginning of Time,CBSE,CBSE,5,6,5,0,stored
Grade 11,History,Nomadic Empires,CBSE,CBSE,5,6,5,0,stored
Grade 11,History,Paths to Modernisation,CBSE,CBSE,5,6,5,0,stored
Grade 11,History,The Central Islamic Lands,CBSE,CBSE,5,6,5,0,stored
Grade 11,History,The Industrial Revolution,CBSE,CBSE,5,6,5,0,stored
Grade 11,History,The Three Orders,CBSE,CBSE,5,6,5,0,stored
Grade 11,History,Writing and City Life,CBSE,CBSE,5,6,5,0,stored
Grade 11,Mathematics,Binomial Theorem,CBSE,CBSE,5,6,5,3,stored
Grade 11,Mathematics,Complex Numbers and Quadratic Equations,CBSE,CBSE,5,6,5,0,stored
Grade 11,Mathematics,Exemplar: Binomial Theorem,CBSE,CBSE,5,6,5,0,stored
Grade 11,Mathematics,Exemplar: Complex Numbers and Quadratic Equations,CBSE,CBSE,5,6,5,0,stored
Grade 11,Mathematics,Exemplar: Conic Sections,CBSE,CBSE,5,6,5,0,stored
Grade 11,Mathematics,Exemplar: Introduction to Three Dimensional Geometry,CBSE,CBSE,5,6,5,0,stored
Grade 11,Mathematics,Exemplar: Limits and Derivatives,CBSE,CBSE,5,6,5,0,stored
Grade 11,Mathematics,Exemplar: Linear Inequalities,CBSE,CBSE,5,6,5,0,stored
Grade 11,Mathematics,Exemplar: Mathematical Reasoning,CBSE,CBSE,5,6,5,0,stored
Grade 11,Mathematics,Exemplar: Permutations and Combinations,CBSE,CBSE,5,6,5,1,stored
Grade 11,Mathematics,Exemplar: Principle of Mathematical Induction,CBSE,CBSE,5,6,5,0,stored
Grade 11,Mathematics,Exemplar: Probability,CBSE,CBSE,5,6,5,0,stored
Grade 11,Mathematics,Exemplar: Relations and Functions,CBSE,CBSE,5,6,5,0,stored
Grade 11,Mathematics,Exemplar: Sequences and Series,CBSE,CBSE,5,6,5,0,stored
Grade 11,Mathematics,Exemplar: Sets,CBSE,CBSE,5,6,5,2,stored
Grade 11,Mathematics,Exemplar: Statistics,CBSE,CBSE,5,6,5,0,stored
Grade 11,Mathematics,Exemplar: Straight Lines,CBSE,CBSE,5,6,5,0,stored
Grade 11,Mathematics,Exemplar: Trigonometric Functions,CBSE,CBSE,5,6,5,0,stored
Grade 11,Mathematics,Linear Inequalities,CBSE,CBSE,5,6,5,0,stored
Grade 11,Mathematics,Permutations and Combinations,CBSE,CBSE,5,6,5,1,stored
Grade 11,Mathematics,Principle of Mathematical Induction,CBSE,CBSE,5,6,5,1,stored
Grade 11,Mathematics,Relations and Functions,CBSE,CBSE,5,6,5,1,stored
Grade 11,Mathematics,Sequences and Series,CBSE,CBSE,5,6,5,0,stored
Grade 11,Mathematics,Sets,CBSE,CBSE,5,6,5,0,stored
Grade 11,Mathematics,Straight Lines,CBSE,CBSE,5,6,5,0,stored
Grade 11,Mathematics,Trigonometric Functions,CBSE,CBSE,5,6,5,1,stored
Grade 11,Physics,Gravitation,CBSE,CBSE,5,6,5,0,stored
Grade 11,Physics,Kinetic Theory,CBSE,CBSE,5,6,5,0,stored
Grade 11,Physics,Laws of Motion,CBSE,CBSE,5,6,5,0,stored
Grade 11,Physics,Mechanical Properties of Fluids,CBSE,CBSE,5,6,5,0,stored
Grade 11,Physics,Mechanical Properties of Solids,CBSE,CBSE,5,6,5,0,stored
Grade 11,Physics,Motion in a Plane,CBSE,CBSE,5,6,5,0,stored
Grade 11,Physics,Motion in a Straight Line,CBSE,CBSE,5,6,5,0,stored
Grade 11,Physics,Oscillations,CBSE,CBSE,5,6,5,0,stored
Grade 11,Physics,PYQ: B Tech 2nd Apr 2026 Shift 1,CBSE,CBSE,5,6,5,0,stored
Grade 11,Physics,PYQ: B Tech 2nd Apr 2026 Shift 2,CBSE,CBSE,5,6,5,0,stored
Grade 11,Physics,PYQ: B Tech 4th Apr 2026 Shift 1,CBSE,CBSE,5,6,5,0,stored
Grade 11,Physics,PYQ: B Tech 4th Apr 2026 Shift 2,CBSE,CBSE,5,6,5,0,stored
Grade 11,Physics,PYQ: B Tech 5th Apr 2026 Shift 1,CBSE,CBSE,5,6,5,0,stored
Grade 11,Physics,PYQ: B Tech 5th Apr 2026 Shift 2,CBSE,CBSE,5,6,5,0,stored
Grade 11,Physics,PYQ: B Tech 6th Apr 2026 Shift 1,CBSE,CBSE,5,6,5,0,stored
Grade 11,Physics,PYQ: B Tech 6th Apr 2026 Shift 2,CBSE,CBSE,5,6,5,0,stored
Grade 11,Physics,PYQ: B Tech 8th Apr 2026 Shift 2,CBSE,CBSE,5,6,5,0,stored
Grade 11,Physics,Physical World,CBSE,CBSE,5,6,5,0,stored
Grade 11,Physics,Systems of Particles and Rotational Motion,CBSE,CBSE,5,6,5,0,stored
Grade 11,Physics,Thermal Properties of Matter,CBSE,CBSE,5,6,5,0,stored
Grade 11,Physics,Thermodynamics,CBSE,CBSE,5,6,5,0,stored
Grade 11,Physics,Units and Measurements,CBSE,CBSE,6,6,0,0,already_stored
Grade 11,Physics,"Work, Energy and Power",CBSE,CBSE,5,6,5,0,stored
Grade 11,Political Science,Citizenship,CBSE,CBSE,5,6,5,0,stored
Grade 11,Political Science,Constitution: Why and How?,CBSE,CBSE,5,6,5,0,stored
Grade 11,Political Science,Development,CBSE,CBSE,5,6,5,0,stored
Grade 11,Political Science,Election and Representation,CBSE,CBSE,5,6,5,0,stored
Grade 11,Political Science,Equality,CBSE,CBSE,5,6,5,0,stored
Grade 11,Political Science,Executive,CBSE,CBSE,5,6,5,0,stored
Grade 11,Political Science,Federalism,CBSE,CBSE,5,6,5,0,stored
Grade 11,Political Science,Freedom,CBSE,CBSE,5,6,5,0,stored
Grade 11,Political Science,Judiciary,CBSE,CBSE,5,6,5,0,stored
Grade 11,Political Science,Legislature,CBSE,CBSE,5,6,5,0,stored
Grade 11,Political Science,Local Governments,CBSE,CBSE,5,6,5,0,stored
